Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
BMP10		ENSG00000163217	"Bone morphogenetic protein 10"	O95393	2	68860909-68871397	"Predicted secreted proteins"	"Cell adhesion"	"Cytokine, Developmental protein, Growth factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	68	"heart muscle: 447.8"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 1.4;Late spermatids: 1.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	23	"Gastric cancer: 7.5;Rhabdoid: 2.8"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to blood"	NA	NA		230000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 22: Rhabdoid cancers - Neuronal signaling"	"Cluster 66: Endothelial cells - Angiogenesis"																		"unprognostic (1.74e-1)"		
DHRS7C	SDR32C2	ENSG00000184544	"Dehydrogenase/reductase 7C"	A6NNS2	17	9771434-9791592	"Predicted intracellular proteins, Predicted secreted proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	66	"heart muscle: 125.0;skeletal muscle: 308.1;tongue: 367.4"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 80.4;Late spermatids: 15.9;Skeletal myocytes: 22.8"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted in other tissues"	NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 77: Cardiomyocytes - Muscle contraction"								"unprognostic (6.83e-2)"												
PPP1R3A	"GM, PPP1R3"	ENSG00000154415	"Protein phosphatase 1 regulatory subunit 3A"	Q16821	7	113876777-114075920	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Carbohydrate metabolism, Glycogen metabolism"		"Diabetes mellitus, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	64	"heart muscle: 40.8;skeletal muscle: 152.9;tongue: 104.1"	"Group enriched"	"Detected in some"	9	"Cardiomyocytes: 229.8;Skeletal myocytes: 197.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Region enriched"	"Detected in single"	12	"thalamus: 1.1"	"Not detected"	"Not detected"			"HPA070440, HPA073138"	Enhanced					NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 53: Non-specific - mRNA processing"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA070440: , HPA073138: "						"unprognostic (8.96e-3)"											
ANKRD2	ARPP	ENSG00000165887	"Ankyrin repeat domain 2"	Q9GZV1	10	97572499-97583884	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	63	"heart muscle: 437.1;skeletal muscle: 981.2;tongue: 823.8"	"Group enriched"	"Detected in some"	4	"Cardiomyocytes: 196.3;Skeletal myocytes: 104.9"	"Cancer enhanced"	"Detected in many"		"renal cancer: 4.9;testis cancer: 5.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Uterine cancer: 16.5"	"Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"HPA040842, HPA040884"	Enhanced		Enhanced	Vesicles		NA	NA		110000	"Cluster 1: Neutrophils - Mixed function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 68: Kidney - Mixed function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Vesicles		"HPA040842: AB_10963794, HPA040884: AB_10969453"	"unprognostic (1.27e-2)"	"unprognostic (9.99e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.39e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.61e-2)"	"unprognostic (2.53e-1)"	"unprognostic (5.60e-3)"	"unprognostic (2.17e-1)"	"unprognostic (3.12e-1)"	"unprognostic (4.91e-2)"	"unprognostic (2.22e-1)"	"unprognostic (1.05e-2)"	"unprognostic (3.69e-3)"	"unprognostic (4.56e-2)"	"unprognostic (1.39e-1)"	"unprognostic (2.13e-1)"
UNC45B	"CMYA4, UNC45"	ENSG00000141161	"Unc-45 myosin chaperone B"	Q8IWX7	17	35147817-35189345	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Myogenesis"	"Chaperone, Developmental protein"	"Cataract, Disease variant, Myofibrillar myopathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	59	"heart muscle: 100.3;skeletal muscle: 196.6;tongue: 151.9"	"Group enriched"	"Detected in some"	8	"Cardiomyocytes: 219.3;Late spermatids: 62.8;Skeletal myocytes: 112.8"	"Group enriched"	"Detected in some"	5	"head and neck cancer: 0.9;testis cancer: 1.0"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"gdT-cell: 1.1"	"Lineage enriched"	"Detected in single"	9	"T-cells: 1.1"	"Cancer enriched"	"Detected in single"	18	"Sarcoma: 1.8"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA017861			Approved	Cytosol		NA	NA			"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Cytosol		"HPA017861: AB_1847012"	"unprognostic (7.17e-2)"	"unprognostic (6.47e-3)"	"unprognostic (9.36e-3)"	"unprognostic (2.93e-1)"	"unprognostic (1.49e-3)"	"unprognostic (5.30e-2)"	"unprognostic (3.07e-1)"	"unprognostic (1.09e-2)"	"unprognostic (5.46e-2)"	"unprognostic (2.40e-2)"	"unprognostic (8.46e-2)"	"unprognostic (6.73e-2)"	"unprognostic (1.13e-6)"	"unprognostic (6.77e-2)"	"unprognostic (5.05e-3)"	"unprognostic (2.20e-1)"	"unprognostic (2.21e-1)"
LRRC10	"HRLRRP, LRRC10A"	ENSG00000198812	"Leucine rich repeat containing 10"	Q5BKY1	12	69608564-69610907	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	55	"heart muscle: 40.0"	"Cell type enriched"	"Detected in some"	43	"Cardiomyocytes: 47.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"									NA	NA				"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 40: Non-specific - Enzymes"	"Cluster 77: Cardiomyocytes - Muscle contraction"								"unprognostic (3.76e-4)"										"unprognostic (4.59e-1)"		
PERM1	"C1orf170, MGC13275, RP11-54O7.8"	ENSG00000187642	"PPARGC1 and ESRR induced regulator, muscle 1"	Q5SV97	1	975204-982093	"Predicted intracellular proteins"	"Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	55	"heart muscle: 68.8;skeletal muscle: 194.5;tongue: 135.8"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 3.7;Breast myoepithelial cells: 4.2;Early spermatids: 7.5;Horizontal cells: 5.1;Late spermatids: 5.9;Prostatic glandular cells: 4.0;Skeletal myocytes: 11.9"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA031711, HPA031712"	Enhanced					NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 73: Prostatic glandular cells - Transcription"			"HPA031711: AB_10669636, HPA031712: AB_2674005"	"unprognostic (3.67e-2)"	"unprognostic (5.72e-2)"	"unprognostic (6.05e-2)"	"unprognostic (1.89e-1)"	"unprognostic (2.86e-2)"	"unprognostic (4.25e-2)"	"unprognostic (7.58e-4)"	"unprognostic (2.34e-1)"	"unprognostic (1.70e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.69e-2)"	"unprognostic (4.67e-2)"	"prognostic unfavorable (1.95e-4)"	"unprognostic (1.70e-1)"	"unprognostic (2.25e-1)"	"unprognostic (2.48e-2)"	"unprognostic (1.96e-2)"
MYH6		ENSG00000197616	"Myosin heavy chain 6"	P13533	14	23381982-23408273	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin"	"Atrial septal defect, Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	54	"heart muscle: 2882.7"	"Cell type enriched"	"Detected in some"	46	"Cardiomyocytes: 6689.4"	"Cancer enriched"	"Detected in single"	5	"testis cancer: 1.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA001239, HPA001349, CAB075723, CAB075724, CAB075725"	Enhanced		Uncertain	"Focal adhesion sites"		NA	NA		25000000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 47: Retina - Visual perception"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Focal adhesion sites"		"CAB075723: AB_2665728, CAB075724: AB_2665729, CAB075725: AB_2665730, HPA001239: AB_1079438, HPA001349: AB_1079437"	"unprognostic (2.09e-2)"	"unprognostic (8.53e-4)"		"unprognostic (1.80e-2)"	"unprognostic (2.99e-1)"	"unprognostic (1.66e-1)"		"unprognostic (2.09e-1)"	"unprognostic (1.66e-1)"	"unprognostic (5.73e-2)"	"unprognostic (1.44e-2)"	"unprognostic (5.34e-3)"		"unprognostic (6.90e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.22e-2)"
ACTN2		ENSG00000077522	"Actinin alpha 2"	P35609	1	236664141-236764631	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Actin-binding	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	53	"heart muscle: 772.7;skeletal muscle: 2134.7;tongue: 1262.2"	"Group enriched"	"Detected in some"	9	"Cardiomyocytes: 2111.7;Skeletal myocytes: 756.2"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 10.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Bone cancer: 9.4"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Region enhanced"	"Detected in many"		"basal ganglia: 66.6"	"Region enhanced"	"Detected in all"		"basal ganglia: 44.5"	"HPA006035, HPA008315"	Enhanced		Approved	"Actin filaments,Cytosol"		NA	NA		25000000		"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Actin filaments"	Cytosol	"HPA006035: AB_1078095, HPA008315: AB_1844543"	"unprognostic (1.75e-1)"	"unprognostic (1.50e-1)"	"unprognostic (2.41e-2)"	"unprognostic (1.69e-3)"	"unprognostic (2.91e-1)"	"unprognostic (4.32e-3)"	"unprognostic (7.85e-2)"	"unprognostic (2.97e-3)"	"unprognostic (2.17e-2)"	"unprognostic (2.80e-1)"	"unprognostic (2.97e-1)"	"unprognostic (2.66e-1)"	"unprognostic (2.71e-11)"	"unprognostic (1.30e-2)"	"unprognostic (1.10e-2)"	"unprognostic (4.98e-2)"	"unprognostic (1.22e-1)"
HRC	MGC133236	ENSG00000130528	"Histidine rich calcium binding protein"	P23327	19	49151198-49155396	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	50	"heart muscle: 718.3;skeletal muscle: 453.0;tongue: 244.7"	"Cell type enriched"	"Detected in some"	19	"Cardiomyocytes: 2420.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Myeloma: 6.3;Rhabdoid: 2.8;Sarcoma: 5.9"	"Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Liver - Hepatic stellate cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA004833	Enhanced				"Intracellular and membrane"	NA	NA		100000		"Cluster 38: Heart - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA004833: AB_1079083"	"unprognostic (1.06e-1)"	"unprognostic (1.04e-3)"	"unprognostic (1.46e-2)"	"unprognostic (4.94e-2)"	"unprognostic (5.66e-2)"	"unprognostic (9.75e-3)"	"unprognostic (3.44e-1)"	"unprognostic (1.74e-1)"	"unprognostic (4.09e-1)"	"unprognostic (1.62e-1)"	"unprognostic (7.41e-3)"	"unprognostic (5.85e-3)"	"unprognostic (4.04e-2)"	"unprognostic (6.68e-2)"	"unprognostic (1.07e-1)"	"unprognostic (1.86e-1)"	"unprognostic (1.46e-1)"
CKMT2	SMTCK	ENSG00000131730	"Creatine kinase, mitochondrial 2"	P17540	5	81233320-81266398	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Kinase, Transferase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	49	"heart muscle: 1240.1;skeletal muscle: 1430.8;tongue: 2324.4"	"Cell type enriched"	"Detected in many"	7	"Cardiomyocytes: 1007.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	7	"NK-cell: 1.1"	"Lineage enriched"	"Detected in single"	7	"NK-cells: 1.1"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 7.7"	"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Kidney - Intercalated cells, Prostate - Smooth muscle cells, Skin - Eccrine sweat gland cells, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA051880	Enhanced					NA	NA		3000000	"Cluster 48: NK-cells - Unknown function"	"Cluster 38: Heart - Muscle contraction"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA051880: AB_2681650"	"unprognostic (3.64e-3)"	"unprognostic (1.15e-1)"	"unprognostic (2.82e-3)"	"unprognostic (1.88e-2)"	"unprognostic (1.21e-2)"	"unprognostic (2.41e-2)"	"unprognostic (1.73e-2)"	"unprognostic (3.57e-2)"	"unprognostic (2.12e-1)"	"unprognostic (1.03e-1)"	"unprognostic (2.82e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.60e-2)"	"unprognostic (5.34e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.75e-3)"
MYL4	"ALC1, AMLC, GT1, PRO1957"	ENSG00000198336	"Myosin light chain 4"	P12829	17	47200446-47223679	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"	"Atrial fibrillation, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	47	"heart muscle: 6347.0"	"Cell type enriched"	"Detected in many"	4	"Cardiomyocytes: 2143.5"	"Cancer enriched"	"Detected in some"	5	"thyroid cancer: 11.7"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	9	"plasmacytoid DC: 1.8"	"Lineage enriched"	"Detected in single"	9	"dendritic cells: 1.8"	"Group enriched"	"Detected in some"	22	"Leukemia: 69.9;Sarcoma: 44.2;testis cancer: 24.3"	"Heart muscle - Cardiomyocytes"	"Group enriched"	"Detected in all"	6	"amygdala: 25.8;cerebral cortex: 88.4;hippocampal formation: 25.2;white matter: 50.9"	"Not detected"	"Not detected"			"HPA046859, HPA051884, HPA063034"	Enhanced		Approved	"Plasma membrane"		NA	NA		3100000	"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Plasma membrane"		"HPA046859: AB_2679842, HPA051884: AB_2681651, HPA063034: AB_2684927"	"unprognostic (2.43e-2)"	"unprognostic (9.57e-2)"	"unprognostic (2.25e-1)"	"unprognostic (5.51e-2)"	"unprognostic (2.33e-1)"	"unprognostic (4.12e-3)"	"unprognostic (5.06e-3)"	"unprognostic (1.34e-1)"	"unprognostic (1.13e-1)"	"unprognostic (6.52e-2)"	"unprognostic (2.10e-2)"	"unprognostic (7.37e-2)"	"unprognostic (1.00e-6)"	"unprognostic (1.92e-4)"	"unprognostic (2.54e-1)"	"unprognostic (6.51e-3)"	"unprognostic (1.50e-1)"
TCAP	"CMD1N, LGMD2G, T-cap, TELE, telethonin"	ENSG00000173991	Titin-cap	O15273	17	39665349-39666554	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Cardiomyopathy, Disease variant, Limb-girdle muscular dystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	47	"heart muscle: 5162.1;skeletal muscle: 15829.0;tongue: 5831.4"	"Group enriched"	"Detected in many"	157	"Cardiomyocytes: 1280.0;Skeletal myocytes: 3775.9"	"Group enriched"	"Detected in many"	8	"head and neck cancer: 20.2;prostate cancer: 11.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 5.9"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Region enhanced"	"Detected in many"		"cerebral cortex: 15.8"	"Low region specificity"	"Detected in some"			"CAB004591, HPA026477"	Enhanced					NA	NA		36000	"Cluster 32: T-cells - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 27: Skeletal myocytes - Muscle contraction"			"CAB004591: AB_628340, HPA026477: AB_1857888"	"unprognostic (5.29e-2)"	"unprognostic (9.29e-2)"	"unprognostic (2.40e-3)"	"unprognostic (4.32e-3)"	"unprognostic (8.79e-2)"	"unprognostic (3.68e-2)"	"unprognostic (1.61e-1)"	"unprognostic (3.34e-1)"	"unprognostic (3.46e-1)"	"unprognostic (1.12e-2)"	"unprognostic (1.12e-4)"	"unprognostic (2.62e-1)"	"unprognostic (4.51e-2)"	"unprognostic (8.59e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.78e-1)"	"prognostic favorable (4.55e-4)"
COX6A2		ENSG00000156885	"Cytochrome c oxidase subunit 6A2"	Q02221	16	31427731-31428360	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Oxidoreductase	"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	46	"heart muscle: 3905.3;skeletal muscle: 6742.0;tongue: 2096.1"	"Group enriched"	"Detected in some"	67	"Cardiomyocytes: 6922.8;Skeletal myocytes: 2853.4"	"Group enriched"	"Detected in many"	5	"head and neck cancer: 9.3;liver cancer: 2.9;prostate cancer: 3.6"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	150	"NK-cell: 15.0"	"Lineage enriched"	"Detected in single"	150	"NK-cells: 15.0"	"Cancer enhanced"	"Detected in single"		"Sarcoma: 1.0"	"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 48: NK-cells - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 51: Myeloma - Humoral immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (1.66e-1)"	"unprognostic (1.73e-3)"			"unprognostic (2.09e-2)"	"unprognostic (1.25e-2)"	"unprognostic (1.68e-2)"		"unprognostic (3.88e-1)"	"unprognostic (5.61e-2)"	"unprognostic (7.20e-2)"	"unprognostic (8.71e-2)"	"unprognostic (6.20e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.65e-1)"		
STYXL2	DUSP27	ENSG00000198842	"Serine/threonine/tyrosine interacting like 2"	Q5VZP5	1	167094075-167129165	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	42	"heart muscle: 63.6;skeletal muscle: 114.6;tongue: 54.1"	"Group enriched"	"Detected in some"	7	"Cardiomyocytes: 162.3;Skeletal myocytes: 79.2"	"Group enriched"	"Detected in many"	6	"colorectal cancer: 12.8;stomach cancer: 3.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Bile duct cancer: 25.4;colorectal cancer: 21.4"		"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA012912			Approved	Nucleoplasm		NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoplasm		"HPA012912: AB_2668767"	"unprognostic (1.26e-2)"		"unprognostic (1.74e-1)"	"unprognostic (1.44e-3)"	"unprognostic (1.22e-1)"	"unprognostic (2.10e-3)"	"unprognostic (4.65e-2)"	"unprognostic (1.53e-1)"	"unprognostic (8.19e-2)"	"unprognostic (1.07e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.44e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.72e-1)"	"unprognostic (7.65e-2)"	"unprognostic (8.23e-2)"	"unprognostic (3.39e-1)"
SMCO1	"C3orf43, DKFZp313B0440, FLJ41923"	ENSG00000214097	"Single-pass membrane protein with coiled-coil domains 1"	Q147U7	3	196506879-196515346	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	41	"heart muscle: 41.5;skeletal muscle: 149.2;tongue: 107.0"	"Cell type enriched"	"Detected in some"	4	"Cardiomyocytes: 120.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA061937			Approved	"Endoplasmic reticulum,Golgi apparatus"		NA	NA			"Cluster 40: NK-cells - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Golgi apparatus"	"Endoplasmic reticulum"	"HPA061937: AB_2684642"	"unprognostic (4.86e-2)"	"unprognostic (1.62e-1)"		"unprognostic (1.51e-2)"	"unprognostic (6.08e-2)"	"unprognostic (1.72e-2)"		"unprognostic (1.73e-1)"		"unprognostic (3.25e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.94e-2)"		"unprognostic (2.95e-1)"	"unprognostic (2.72e-1)"	"unprognostic (3.07e-2)"	"unprognostic (2.88e-3)"
